team,group,confederation
Mexico,A,CONCACAF
South Africa,A,CAF
South Korea,A,AFC
Czech Republic,A,UEFA
Canada,B,CONCACAF
Switzerland,B,UEFA
Qatar,B,AFC
Bosnia and Herzegovina,B,UEFA
Brazil,C,CONMEBOL
Morocco,C,CAF
Scotland,C,UEFA
Haiti,C,CONCACAF
United States,D,CONCACAF
Turkey,D,UEFA
Australia,D,AFC
Paraguay,D,CONMEBOL
Germany,E,UEFA
Ecuador,E,CONMEBOL
Ivory Coast,E,CAF
Curaçao,E,CONCACAF
Netherlands,F,UEFA
Japan,F,AFC
Sweden,F,UEFA
Tunisia,F,CAF
Belgium,G,UEFA
Iran,G,AFC
Egypt,G,CAF
New Zealand,G,OFC
Spain,H,UEFA
Uruguay,H,CONMEBOL
Saudi Arabia,H,AFC
Cape Verde,H,CAF
France,I,UEFA
Norway,I,UEFA
Senegal,I,CAF
Iraq,I,AFC
Argentina,J,CONMEBOL
Austria,J,UEFA
Algeria,J,CAF
Jordan,J,AFC
Portugal,K,UEFA
Colombia,K,CONMEBOL
Uzbekistan,K,AFC
DR Congo,K,CAF
England,L,UEFA
Croatia,L,UEFA
Ghana,L,CAF
Panama,L,CONCACAF
