,champion,final,semifinal,quarterfinal,knockout_stage
Spain,0.1241,0.198,0.2942,0.4245,0.923
Argentina,0.1017,0.1604,0.246,0.3778,0.8996
France,0.0735,0.1266,0.2221,0.3572,0.8666
Portugal,0.056,0.1005,0.173,0.3009,0.8546
England,0.0549,0.0991,0.1759,0.3043,0.8496
Netherlands,0.0491,0.087,0.1601,0.2815,0.8217
Brazil,0.0486,0.0905,0.1705,0.2981,0.8547
Germany,0.0396,0.0771,0.1476,0.2611,0.8276
Colombia,0.0349,0.0712,0.1336,0.2486,0.8084
Mexico,0.0282,0.0598,0.1188,0.2502,0.8238
Uruguay,0.0261,0.0573,0.1155,0.2165,0.7687
Ecuador,0.0247,0.0552,0.1152,0.2183,0.775
Belgium,0.0232,0.0516,0.1082,0.2291,0.7978
Morocco,0.0227,0.0512,0.1119,0.2204,0.7764
Croatia,0.0211,0.0442,0.0959,0.1916,0.7405
Switzerland,0.0181,0.0426,0.0838,0.189,0.7494
Japan,0.0179,0.0421,0.0886,0.185,0.7098
Turkey,0.0179,0.0393,0.0828,0.1737,0.7
United States,0.0173,0.0384,0.0869,0.1884,0.7414
Canada,0.0172,0.0403,0.0869,0.2045,0.7786
Norway,0.0164,0.0337,0.0781,0.1647,0.6816
Senegal,0.0153,0.0357,0.079,0.1705,0.6681
South Korea,0.0129,0.0283,0.0703,0.159,0.6976
Austria,0.0129,0.0306,0.0638,0.1415,0.6662
Iran,0.0127,0.031,0.0714,0.1636,0.7193
Egypt,0.0111,0.0247,0.056,0.1343,0.675
Paraguay,0.0097,0.022,0.0531,0.1261,0.6185
Australia,0.0091,0.0231,0.0526,0.124,0.6178
Algeria,0.0088,0.0225,0.0515,0.1189,0.6155
Ivory Coast,0.0075,0.0202,0.0541,0.1227,0.6393
Sweden,0.0073,0.0191,0.0513,0.1163,0.5821
Bosnia and Herzegovina,0.0063,0.018,0.0451,0.1083,0.6153
Panama,0.0056,0.0149,0.0347,0.0872,0.5498
Czech Republic,0.0055,0.0177,0.0464,0.112,0.6103
Scotland,0.0053,0.0145,0.0435,0.1064,0.6018
Tunisia,0.0051,0.0144,0.0419,0.1031,0.5625
Ghana,0.0047,0.0117,0.0329,0.0841,0.5288
Iraq,0.0038,0.0093,0.0258,0.0675,0.4454
South Africa,0.0036,0.0107,0.0325,0.0901,0.549
DR Congo,0.0029,0.0084,0.0258,0.0712,0.4959
Uzbekistan,0.0029,0.0093,0.0257,0.0702,0.5033
Saudi Arabia,0.0028,0.01,0.0286,0.0783,0.4974
New Zealand,0.0023,0.0062,0.0202,0.0625,0.4918
Qatar,0.0022,0.0085,0.0283,0.0853,0.5496
Jordan,0.0021,0.0085,0.023,0.0655,0.4707
Cape Verde,0.0021,0.0055,0.0173,0.053,0.4244
Curaçao,0.0013,0.005,0.0168,0.0477,0.4284
Haiti,0.001,0.0041,0.0128,0.0453,0.4274
