team,elo
Spain,2219.000394203685
Argentina,2187.298685955598
France,2124.7188944783043
England,2086.4403884751946
Brazil,2066.422926082373
Colombia,2059.749621382446
Portugal,2041.8066682372364
Ecuador,2023.3724132372074
Netherlands,2010.5037430664445
Germany,2004.5156588246612
Japan,1990.8480647463534
Morocco,1984.6646540791894
Norway,1972.5527018786192
Uruguay,1971.409859663474
Turkey,1969.8314979698134
Croatia,1969.1717383549076
Mexico,1956.243214167074
Belgium,1956.2380856738953
Switzerland,1956.1261367270038
Denmark,1929.3992467689309
Italy,1929.3169815051483
Paraguay,1915.5450327887663
Senegal,1913.2464441986804
Australia,1898.7990805141826
Canada,1896.3444029061216
Iran,1895.5684683018546
Austria,1890.9818891691975
Nigeria,1886.418928851618
South Korea,1879.2614589361503
Algeria,1872.5064503888188
Scotland,1844.8904322235605
Ukraine,1841.929392940304
Russia,1841.5410305166033
Panama,1837.9042898559953
Venezuela,1820.6283270611207
United States,1820.6191762437998
Uzbekistan,1819.568630656382
Ivory Coast,1814.7848646570517
Egypt,1810.603763852066
Jersey,1805.3280686067758
Greece,1804.026306644629
Czech Republic,1802.6873636684022
Serbia,1801.5406226524076
Chile,1801.1268380053575
Basque Country,1800.9364367400924
Jordan,1774.5163853251006
Kosovo,1772.99351111653
Sweden,1771.5898303299255
Poland,1771.4351800334941
Peru,1769.6713758609862
Hungary,1768.5172645409475
DR Congo,1763.9232096865542
Republic of Ireland,1761.9389281953786
Guernsey,1745.655224768024
Wales,1743.7503177750602
Slovenia,1739.4750287549439
Tunisia,1738.4748522718135
Costa Rica,1737.4113416347648
Iraq,1737.1135999555906
German DR,1730.9994649488426
Slovakia,1726.2041972098384
Bolivia,1725.321248344661
Cameroon,1724.4210083735015
New Zealand,1720.2531849619418
Haiti,1716.1011747010737
Georgia,1711.6951747323697
Isle of Man,1709.2242447669175
Mali,1708.4830020295774
Israel,1702.370272883185
Romania,1701.7916132290807
Honduras,1701.6959475996796
Saudi Arabia,1697.229173857826
Northern Cyprus,1689.5040291448345
Occitania,1686.8079090867088
Padania,1686.5864241529598
Albania,1674.7210637666672
Jamaica,1664.6655563945328
United Arab Emirates,1664.3513366726468
Northern Ireland,1663.679415303709
South Africa,1662.853158230586
Isle of Wight,1660.2949575053385
Catalonia,1655.9819475668326
Cape Verde,1654.355690173263
Bosnia and Herzegovina,1652.621894381899
Burkina Faso,1651.8025037171235
North Macedonia,1650.9331859981198
Iraqi Kurdistan,1645.2970834494683
Ynys Môn,1639.7680897930813
Guatemala,1639.074532382837
Iceland,1630.1481229727383
Abkhazia,1628.2135503103843
Ghana,1625.1522041753517
Curaçao,1609.3194564595249
Kárpátalja,1606.8117527860563
New Caledonia,1601.0521636350702
Finland,1600.3843884812156
Syria,1596.6536515234304
Kernow,1593.0907718351098
Andalusia,1592.9921430351
Suriname,1592.728748348898
Rhodes,1591.738816791241
County of Nice,1591.0148238645445
Angola,1589.4699102783206
Palestine,1587.5754304057932
Belarus,1586.0776018829213
Panjab,1585.6999853165985
Réunion,1581.7661982218467
Tamil Eelam,1580.8172382056239
Guinea,1578.5049513217084
Oman,1577.5707133782896
Ellan Vannin,1569.8139760165236
Kurdistan,1567.0811344737529
Menorca,1566.1784217702645
Qatar,1565.8682198189827
Artsakh,1557.352849559643
Corsica,1556.0102969446575
Yorkshire,1553.30234036626
Chameria,1552.7390487077334
China,1552.4386949499
Zambia,1550.7607143760367
Arameans Suryoye,1546.33872222654
Quebec,1546.1709904699287
Cascadia,1545.3406122634049
Benin,1539.586064836396
Gambia,1539.2408715528372
Bahrain,1539.1508737251452
Bulgaria,1539.0158765200647
Trinidad and Tobago,1538.006884562966
Zanzibar,1534.5182093589533
Thailand,1533.8502898141128
Libya,1531.0669836179165
Guadeloupe,1529.8132818969273
Maule Sur,1528.345836909456
Galicia,1527.0559896244704
Gabon,1521.8945980700878
Asturias,1520.5297736017358
Montenegro,1519.219217860326
Western Armenia,1518.720314076637
Surrey,1516.2131074740391
Canary Islands,1515.2544970984736
Biafra,1514.7598918593928
Parishes of Jersey,1513.8865876791535
Nicaragua,1513.8420034842627
Uganda,1513.2747612277358
Donetsk PR,1511.8362639773018
Tahiti,1510.6250530708637
Madagascar,1510.526696782537
Mapuche,1508.4707999873015
Kazakhstan,1508.4024992169525
Felvidék,1507.4815057255762
Silesia,1507.0732596520636
Elba Island,1506.7562216932988
Crimea,1504.8928204444953
Indonesia,1504.5409105614312
Brittany,1504.2864779627075
Shetland,1503.3216515118688
United Koreans in Japan,1501.718057431275
El Salvador,1500.4545386803695
Délvidék,1500.2246726980482
Niger,1499.3356156402415
Guyana,1497.513714486892
Togo,1495.9833016450614
Central Spain,1495.317158400716
Mozambique,1494.7879247873175
Saugeais,1494.741297409393
North Korea,1492.9152300691217
Cilento,1490.6493488702527
Martinique,1490.3414220946063
Sápmi,1489.8048234526511
Madrid,1489.4964062988552
Luhansk PR,1489.1633166454244
Comoros,1488.9991553436269
North Vietnam,1487.7353518781554
Seborga,1486.4329918423894
Székely Land,1483.9502836434842
Sealand,1483.9385739743498
Yoruba Nation,1483.5326058857468
Dominican Republic,1483.5098088077725
Matabeleland,1482.6554782291669
Malaysia,1481.6481146239905
Republic of St. Pauli,1480.8321821326058
Franconia,1478.16374014804
Somaliland,1477.6885693831314
Zimbabwe,1475.789331604498
South Ossetia,1475.6493007853037
Ryūkyū,1474.4369977926372
West Papua,1474.3187923773514
Åland Islands,1473.474539086139
Kenya,1472.0774643632838
Sudan,1471.5257846148609
Sierra Leone,1470.8954326069884
Gozo,1469.3163256479656
South Yemen,1468.8491680110797
Vietnam,1468.4540042807935
Kuwait,1468.0630488240556
Greenland,1465.807892265511
Romani people,1463.7791629666624
East Turkestan,1463.221864068655
Aymara,1463.1833631032425
Luxembourg,1461.1703020114978
Provence,1460.2063116152326
Hmong,1459.766071496685
Kabylia,1455.8288584203551
Mayotte,1454.2677590900446
Papua New Guinea,1453.8390907279957
Kyrgyzstan,1452.4321726207545
Monaco,1452.0049651176073
Mauritania,1451.76028174463
Chechnya,1451.2812301570607
Rwanda,1448.7478223814562
Saarland,1446.4917203015586
