,champion,final,semifinal,quarterfinal,knockout_stage
Spain,0.1073,0.1675,0.2605,0.3864,0.9249
Argentina,0.0899,0.1451,0.2383,0.3714,0.8827
France,0.0629,0.1083,0.1927,0.3174,0.8396
England,0.0508,0.096,0.1675,0.2909,0.8602
Brazil,0.0438,0.0865,0.164,0.2904,0.827
Portugal,0.0411,0.0768,0.1402,0.2536,0.7873
Colombia,0.037,0.0753,0.1413,0.2644,0.8078
Ecuador,0.0369,0.0704,0.1389,0.258,0.8275
Mexico,0.0359,0.0742,0.1442,0.2904,0.8556
Germany,0.0355,0.0676,0.1325,0.2481,0.813
Netherlands,0.0325,0.0657,0.1269,0.2464,0.8024
Japan,0.0299,0.0583,0.1201,0.2272,0.788
Norway,0.0278,0.0566,0.1058,0.2019,0.7173
Morocco,0.0268,0.0546,0.1156,0.2192,0.759
Switzerland,0.0267,0.0563,0.1132,0.2318,0.8314
Turkey,0.0252,0.0538,0.1047,0.2057,0.7206
Croatia,0.0252,0.0529,0.1062,0.2011,0.771
Canada,0.0249,0.0528,0.1115,0.2447,0.8609
Uruguay,0.0229,0.0524,0.1017,0.1996,0.7757
Belgium,0.0208,0.0461,0.0993,0.2079,0.7732
Paraguay,0.0174,0.0357,0.0757,0.1643,0.6677
Senegal,0.0154,0.0359,0.0818,0.1694,0.6585
Australia,0.0151,0.0357,0.0723,0.1547,0.6382
Iran,0.014,0.0316,0.0724,0.1652,0.7192
South Korea,0.0134,0.0317,0.0758,0.1682,0.7123
Austria,0.0131,0.0283,0.0646,0.1402,0.6478
Algeria,0.0116,0.0266,0.06,0.1302,0.6181
United States,0.0107,0.0259,0.0637,0.1544,0.6701
Scotland,0.0097,0.0224,0.0523,0.1286,0.6165
Panama,0.0087,0.0236,0.0534,0.1208,0.6484
Egypt,0.0083,0.0202,0.0493,0.1175,0.6385
Ivory Coast,0.008,0.0206,0.0498,0.1144,0.6405
Czech Republic,0.0078,0.0215,0.0518,0.1227,0.6289
Uzbekistan,0.0063,0.017,0.0473,0.108,0.568
Tunisia,0.0043,0.0118,0.0279,0.077,0.5238
DR Congo,0.0041,0.0095,0.0287,0.0799,0.5071
Jordan,0.004,0.0119,0.0304,0.0791,0.5049
Sweden,0.0036,0.0105,0.0324,0.0856,0.5632
Iraq,0.0036,0.01,0.0255,0.0706,0.4578
Saudi Arabia,0.003,0.0076,0.0225,0.0629,0.4892
New Zealand,0.003,0.0093,0.0256,0.0759,0.542
Haiti,0.0029,0.0084,0.0247,0.0686,0.4663
South Africa,0.0024,0.006,0.0178,0.0617,0.4761
Cape Verde,0.0018,0.0062,0.0169,0.0462,0.4219
Bosnia and Herzegovina,0.0014,0.006,0.0186,0.0628,0.5298
Ghana,0.0013,0.0034,0.0116,0.0359,0.391
Curaçao,0.0007,0.0032,0.0115,0.0398,0.3957
Qatar,0.0006,0.0023,0.0106,0.0389,0.4334
